EN,JA,Note
3D,三次元形状図,三次元上に構築される形状図
CAD,コンピュータ支援設計,Computer Aided Designの略語。三次元（3D）/二次元（2D）画像デザイン用エディターのタイプ
作業ユニット,作業ユニット,加工作業に必要なツールを収納するマシンパーツ
タイトルバー,タイトルバー,ウィンドウの一番上に位置する帯状のエリア
環境バー,環境バー,アプリケーションソフトウェアの各種環境にアクセスできるボタン
ステータスバー,ステータスバー,通常はウィンドウの最下部に位置する帯状のエリア
ツールバー,ツールバー,ボタンのリストを含むソフトウェアインターフェイスエリア
フィールド,フィールド,データまたはコマンドを含む所定のエリア
コマンド,コマンド,特定の機能/作業を実施するために設計されたツール
テキストボックス,テキストボックス,テキストを入力するための長方形のエリア
チェックボックス,チェックボックス,オプションを有効または無効にするための小さな正方形
ドロップダウンメニュー,ドロップダウンメニュー,クリックすると選択肢が表示されるメニュー
オプションボタン,オプションボタン,複数の選択肢から1つだけを選ぶことができる円形のコントロール
検索ボタン,検索ボタン,検索機能を起動するためのボタン
クリック,クリック,マウスボタンを押してすぐに離す操作
インポート,インポート,別のプログラムで作成された情報を挿入すること
アプリケーション,アプリケーション,特定のタスクを持つソフトウェア
カーソル,カーソル,画面上に表示される可動エレメントであり、マウスの移動に合わせて移動
描画エリア,描画エリア,形状/加工作業の作成と変更専用のエリア
ノード,ノード,ツリー構造内の要素を示す点または接続部分
データエリア,データエリア,データ入力用の特定のエリアを定義する一般的な用語
ボタン,ボタン,マウスのクリックに対応し、実施する作業を有効にするコマンドフィールド
クイックメニュー,クイックメニュー,マウスの右キーを押したときに画面上に表示されるオプションのリスト
メニュー,メニュー,サブメニューを生成するコマンドのリスト
エレメント,エレメント,図面や構造を構成する個々の部品や要素
構成平面,構成平面,描画を行うための作業平面で原点や座標システム、グリッドなどを含む
ビュー,ビュー,オブジェクトをスペースの任意の点から表示できるようにする
グリッド,グリッド,一定の中央距離を持つ線のネットワークで構成平面の特定の部分を占める
スナップ,スナップ,新しいアウトラインの点を既存オブジェクトのエレメントに結びつける機能
デカルト座標,デカルト座標,平面上または空間中の点の位置を識別するためのx、y、z座標
絶対座標,絶対座標,グローバル原点を基準とした座標
相対座標,相対座標,最後に挿入された点を基準とした座標
極座標,極座標,長さと角度を使用して点の位置を指定する座標
線,線,開始点および終点という2つの頂点のみを持つ直線のセグメント
角度,角度,2つの直線または平面が交わるときに形成される開き具合
長さ,長さ,図形要素の端から端までの距離
座標,座標,点の位置を特定するための数値
XY平面,XY平面,Z軸に垂直な平面
描画バー,描画バー,描画ツールを一覧表示するバー
円,円,1つの中心点と半径で定義される閉じた曲線
半径,半径,円の中心から円周上の任意の点までの距離
直径,直径,円を通る2点間の最大距離で、中心点を通る
円弧,円弧,円の一部分である曲線で、始点、終点、および方向によって定義される
通過点,通過点,曲線や円弧が通過する点で、形状を決定するために使用される
方向,方向,図形の描画や移動の向き（時計回り、反時計回りなど）
楕円,楕円,中心点と2つの半径（長軸と短軸）で定義される閉じた曲線
長軸,長軸,楕円の長い方の直径
短軸,短軸,楕円の短い方の直径
回転角度,回転角度,図形が基準位置から回転している角度
多角形,多角形,複数の頂点を持つ閉じた平面図形
頂点,頂点,図形を構成する点
辺,辺,図形の二つの頂点を接続する線分
正多角形,正多角形,すべての辺の長さが等しく、すべての内角が等しい多角形
スプライン,スプライン,複数の制御点を通過または近似する滑らかな曲線
制御点,制御点,スプラインなどの曲線の形状を決定するための点
Bスプライン,Bスプライン,制御点に近似する滑らかな曲線の一種
Bezier曲線,Bezier曲線,制御点によって形状が決定される曲線の一種
3D作成バー,3D作成バー,3Dモデリングツールを一覧表示するバー
ソリッド,ソリッド,内部が詰まった立体オブジェクト
サーフェス,サーフェス,厚みのない表面のみを表現する3Dオブジェクト
メッシュ,メッシュ,多数の多角形（通常は三角形）で構成される3Dオブジェクト
直方体,直方体,6つの長方形の面で構成される立体
球,球,中心点と半径で定義される完全に丸い立体
円柱,円柱,底面が円で、側面が垂直な立体
円錐,円錐,底面が円で、頂点に向かって先細りになる立体
トーラス,トーラス,ドーナツ状の立体で、大円と小円の半径で定義される
多角柱,多角柱,底面が多角形の立体
押し出し,押し出し,2次元の図形に高さを与えて3次元の立体を作成する操作
エクストルージョン,エクストルージョン,押し出し操作の別名
テーパー,テーパー,側面に傾斜をつけた押し出し
回転体,回転体,2次元の図形を軸を中心に回転させて3次元の立体を作成する操作
リボルブ,リボルブ,回転体操作の別名
スイープ,スイープ,2次元の図形をパスに沿って移動させて立体を作成する操作
プロファイル,プロファイル,押し出しや回転体の基となる2D図形
パス,パス,スイープ操作の際に2D図形が移動する経路
ガイドカーブ,ガイドカーブ,スイープやロフトでプロファイルの向きや形状を制御する曲線
ロフト,ロフト,複数の2次元図形の間を補間して3次元の立体を作成する操作
断面,断面,ロフト操作で使用される2D図形
補間,補間,異なる値や形状の間を滑らかに遷移させる処理
ブール演算,ブール演算,3Dオブジェクト間で行われる集合演算
和集合,和集合,複数のオブジェクトを結合するブール演算
差集合,差集合,あるオブジェクトから別のオブジェクトを減算するブール演算
交差,交差,複数のオブジェクトの共通部分を抽出するブール演算
フィレット,フィレット,エッジや角を丸める操作
面取り,面取り,エッジや角を斜めに切り落とす操作 